"DisplayName","DisplayVersion","Publisher","InstallDate"
,,,
"Docker Desktop","4.52.0","Docker Inc.",
"Git","2.50.0.2","The Git Development Community","20250703"
"Intel(R) Graphics Software & Drivers","1.0.1168.2","Intel(R) Corporation",
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","10.0.60910","Microsoft Corporation",
,,"Microsoft Corporation",
"Notepad++ (64-bit x64)","8.8.8","Notepad++ Team",
"Microsoft 365 Apps para Pequenas e Médias Empresas - pt-pt","16.0.19628.20150","Microsoft Corporation",
"Microsoft OneDrive","26.002.0105.0001","Microsoft Corporation",
"METAL GEAR SOLID V: GROUND ZEROES",,"KONAMI",
"The Elder Scrolls V: Skyrim Special Edition",,"Bethesda Game Studios",
"Surfshark","6.4.0999","Surfshark",
,,,
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664","12.0.40664","Microsoft Corporation","20250926"
"Microsoft Windows Desktop Runtime - 9.0.11 (x64)","72.44.42433","Microsoft Corporation","20251127"
"Microsoft .NET Runtime - 9.0.11 (x64)","72.44.42384","Microsoft Corporation","20251127"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20260118"
"PowerToys (Preview)","0.97.0","Microsoft Corporation","20260121"
"oneAPI Level Zero","1.24.0","Intel","20251018"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030","11.0.61030","Microsoft Corporation","20251030"
"Python 3.14.3 Standard Library (64-bit)","3.14.3150.0","Python Software Foundation","20260204"
"Surfshark","6.4.0999","Surfshark","20260124"
"Microsoft ASP.NET Core 8.0.22 Shared Framework (x64)","8.0.22.25528","Microsoft Corporation","20251127"
"Python 3.14.3 Core Interpreter (64-bit)","3.14.3150.0","Python Software Foundation","20260204"
"Microsoft Windows Desktop Runtime - 8.0.22 (x64)","64.88.42561","Microsoft Corporation","20251127"
"Logitech G HUB","2026.1.828335","Logitech",
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664","12.0.40664","Microsoft Corporation","20250926"
"Python 3.14.3 Tcl/Tk Support (64-bit)","3.14.3150.0","Python Software Foundation","20260204"
"Python 3.14.3 Documentation (64-bit)","3.14.3150.0","Python Software Foundation","20260204"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.50.35719","14.50.35719","Microsoft Corporation","20251127"
"Microsoft Windows Desktop Runtime - 8.0.17 (x64)","64.68.34385","Microsoft Corporation","20251209"
"Microsoft .NET Runtime - 8.0.17 (x64)","64.68.34370","Microsoft Corporation","20251209"
